Category: All categories

City,peninggi badan: (3/14/15 - 3/14/20),penggemuk badan: (3/14/15 - 3/14/20),pelangsing: (3/14/15 - 3/14/20),penumbuh rambut: (3/14/15 - 3/14/20),pemutih wajah: (3/14/15 - 3/14/20)
Surabaya,15%,13%,24%,12%,36%
Banjarmasin,19%,13%,24%,10%,34%
Bekasi,13%,15%,23%,12%,37%
Sidoarjo,,,,,
Makassar,19%,12%,24%,11%,34%
Jakarta,14%,11%,26%,13%,36%
Bandung,14%,10%,27%,13%,36%
Samarinda,14%,12%,31%,11%,32%
Palembang,18%,14%,22%,9%,37%
Kediri,,,,,
Jember,,,,,
Bekasi,14%,11%,29%,12%,34%
Balikpapan,18%,14%,29%,,39%
Depok,13%,13%,26%,13%,35%
Tangerang,13%,12%,26%,14%,35%
Jambi,,,,,
Pontianak,17%,10%,25%,13%,35%
Bogor,,,,,
Medan,18%,11%,27%,12%,32%
Bandar Lampung,18%,16%,24%,11%,31%
Surakarta,14%,15%,25%,14%,32%
South Tangerang,12%,11%,26%,17%,34%
Pekanbaru,16%,15%,26%,11%,32%
Batam,15%,17%,26%,13%,29%
Yogyakarta,17%,10%,29%,15%,29%
Semarang,15%,15%,26%,14%,30%
Denpasar,16%,13%,26%,17%,28%
Malang,19%,12%,25%,14%,30%
Padang,21%,15%,24%,9%,31%
Depok,20%,14%,24%,14%,28%
